import time: self [us] | cumulative | imported package
import time:       650 |        650 |                   numpy.lib.mixins
import time:      1273 |       1273 |                             _wmi
import time:      2042 |       3314 |                           platform
import time:       805 |       4119 |                         numpy.lib._utils_impl
import time:       829 |       4947 |                       numpy.lib.format
import time:       867 |        867 |                       numpy.lib._datasource
import time:       841 |        841 |                       numpy.lib._iotools
import time:      1585 |       8239 |                     numpy.lib._npyio_impl
import time:       765 |       9003 |                   numpy.lib.npyio
import time:       595 |        595 |                         numpy.lib._ufunclike_impl
import time:       911 |       1506 |                       numpy.lib._type_check_impl
import time:      1004 |       2509 |                     numpy.lib._scimath_impl
import time:       833 |       3341 |                   numpy.lib.scimath
import time:       710 |        710 |                     numpy.lib._stride_tricks_impl
import time:       938 |       1647 |                   numpy.lib.stride_tricks
import time:       663 |        663 |                           numpy.linalg.linalg
import time:       881 |        881 |                             numpy.lib._twodim_base_impl
import time:       724 |        724 |                             numpy.linalg._umath_linalg
import time:      1039 |       1039 |                               numpy._typing._nested_sequence
import time:       956 |        956 |                               numpy._typing._nbit_base
import time:       608 |        608 |                               numpy._typing._nbit
import time:      9915 |       9915 |                               numpy._typing._char_codes
import time:       961 |        961 |                               numpy._typing._scalars
import time:       590 |        590 |                               numpy._typing._shape
import time:      9940 |       9940 |                               numpy._typing._dtype_like
import time:      7703 |       7703 |                               numpy._typing._array_like
import time:       806 |        806 |                               numpy._typing._ufunc
import time:      3009 |      35524 |                             numpy._typing
import time:      2552 |      39679 |                           numpy.linalg._linalg
import time:      1185 |      41526 |                         numpy.linalg
import time:      1406 |      42932 |                       numpy.matrixlib.defmatrix
import time:       915 |      43846 |                     numpy.matrixlib
import time:       852 |        852 |                       numpy.lib._histograms_impl
import time:      2137 |       2988 |                     numpy.lib._function_base_impl
import time:      1441 |      48274 |                   numpy.lib._index_tricks_impl
import time:      1361 |       1361 |                   numpy.lib._nanfunctions_impl
import time:      1013 |       1013 |                   numpy.lib._shape_base_impl
import time:      1207 |       1207 |                   numpy.lib._arraysetops_impl
import time:      1320 |       1320 |                   numpy.lib._polynomial_impl
import time:       707 |        707 |                   numpy.lib._arrayterator_impl
import time:       713 |        713 |                   numpy.lib._arraypad_impl
import time:       635 |        635 |                   numpy.lib._version
import time:      4180 |      76391 |                 numpy.lib
import time:      1157 |       1157 |                 numpy._array_api_info
import time:      3854 |     131798 |               numpy
import time:      1260 |       1260 |                       http
import time:      1263 |       1263 |                         email.feedparser
import time:      1042 |       2305 |                       email.parser
import time:      1947 |       5512 |                     http.client
import time:      1625 |       7137 |                   urllib3.exceptions
import time:       712 |        712 |                           urllib3.util.timeout
import time:      1183 |       1895 |                         urllib3.util.connection
import time:       663 |        663 |                           urllib3.util.util
import time:       630 |        630 |                           brotlicffi
import time:       875 |        875 |                             _brotli
import time:       988 |       1862 |                           brotli
import time:       610 |        610 |                           zstandard
import time:      1738 |       5501 |                         urllib3.util.request
