import time: self [us] | cumulative | imported package
import time:       776 |        776 |                               openai.types.beta.threads.refusal_content_block
import time:       828 |        828 |                                 openai.types.beta.threads.image_url
import time:      1122 |       1950 |                               openai.types.beta.threads.image_url_content_block
import time:       776 |        776 |                                 openai.types.beta.threads.image_file
import time:      1098 |       1874 |                               openai.types.beta.threads.image_file_content_block
import time:      1642 |       7004 |                             openai.types.beta.threads.message_content
import time:      1962 |       8966 |                           openai.types.beta.threads.message
import time:      1469 |       1469 |                               openai.types.beta.threads.file_path_delta_annotation
import time:      2407 |       2407 |                               openai.types.beta.threads.file_citation_delta_annotation
import time:      1593 |       5468 |                             openai.types.beta.threads.annotation_delta
import time:      1194 |       6661 |                           openai.types.beta.threads.text_delta
import time:      1050 |       1050 |                               openai.types.beta.threads.text_delta_block
import time:       959 |        959 |                               openai.types.beta.threads.refusal_delta_block
import time:      1045 |       1045 |                                 openai.types.beta.threads.image_url_delta
import time:      1337 |       2381 |                               openai.types.beta.threads.image_url_delta_block
import time:       885 |        885 |                                 openai.types.beta.threads.image_file_delta
import time:      1460 |       2344 |                               openai.types.beta.threads.image_file_delta_block
import time:      2109 |       8841 |                             openai.types.beta.threads.message_content_delta
import time:      1789 |      10630 |                           openai.types.beta.threads.message_delta
import time:       765 |        765 |                           openai.types.beta.threads.image_url_param
import time:       804 |        804 |                           openai.types.beta.threads.message_deleted
import time:       722 |        722 |                           openai.types.beta.threads.run_list_params
import time:       763 |        763 |                           openai.types.beta.threads.image_file_param
import time:      1159 |       1159 |                                       openai.types.beta.threads.runs.function_tool_call
import time:      2885 |       2885 |                                       openai.types.beta.threads.runs.file_search_tool_call
import time:      2149 |       2149 |                                       openai.types.beta.threads.runs.code_interpreter_tool_call
import time:      1753 |       7946 |                                     openai.types.beta.threads.runs.tool_call
import time:      1403 |       9349 |                                   openai.types.beta.threads.runs.tool_calls_step_details
import time:      1631 |       1631 |                                   openai.types.beta.threads.runs.message_creation_step_details
import time:      3197 |      14176 |                                 openai.types.beta.threads.runs.run_step
import time:      1085 |       1085 |                                       openai.types.beta.threads.runs.function_tool_call_delta
import time:       854 |        854 |                                       openai.types.beta.threads.runs.file_search_tool_call_delta
import time:       839 |        839 |                                         openai.types.beta.threads.runs.code_interpreter_logs
import time:       919 |        919 |                                         openai.types.beta.threads.runs.code_interpreter_output_image
import time:      1670 |       3427 |                                       openai.types.beta.threads.runs.code_interpreter_tool_call_delta
import time:      1664 |       7029 |                                     openai.types.beta.threads.runs.tool_call_delta
import time:      1293 |       8321 |                                   openai.types.beta.threads.runs.tool_call_delta_object
import time:      1895 |       1895 |                                   openai.types.beta.threads.runs.run_step_delta_message_delta
import time:      2120 |      12336 |                                 openai.types.beta.threads.runs.run_step_delta
import time:       765 |        765 |                                 openai.types.beta.threads.runs.run_step_include
import time:       679 |        679 |                                 openai.types.beta.threads.runs.step_list_params
import time:       755 |        755 |                                 openai.types.beta.threads.runs.run_step_delta_event
import time:       643 |        643 |                                 openai.types.beta.threads.runs.step_retrieve_params
import time:      2505 |      31855 |                               openai.types.beta.threads.runs
import time:       249 |      32103 |                             openai.types.beta.threads.runs.run_step_include
import time:       754 |        754 |                               openai.types.beta.threads.text_content_block_param
import time:       740 |        740 |                               openai.types.beta.threads.image_url_content_block_param
import time:       761 |        761 |                               openai.types.beta.threads.image_file_content_block_param
import time:      1512 |       3766 |                             openai.types.beta.threads.message_content_part_param
import time:       644 |        644 |                                 openai.types.beta.assistant_tool_choice_function_param
import time:      1268 |       1911 |                               openai.types.beta.assistant_tool_choice_param
import time:       904 |       2814 |                             openai.types.beta.assistant_tool_choice_option_param
import time:       693 |        693 |                             openai.types.beta.assistant_response_format_option_param
import time:      2268 |      41643 |                           openai.types.beta.threads.run_create_params
import time:       703 |        703 |                           openai.types.beta.threads.run_update_params
import time:       815 |        815 |                           openai.types.beta.threads.message_delta_event
import time:       650 |        650 |                           openai.types.beta.threads.message_list_params
import time:      1118 |       1118 |                           openai.types.beta.threads.message_create_params
import time:       794 |        794 |                           openai.types.beta.threads.message_update_params
import time:       757 |        757 |                           openai.types.beta.threads.run_submit_tool_outputs_params
import time:      4781 |      94728 |                         openai.types.beta.threads
import time:       221 |      94949 |                       openai.types.beta.threads.message_content_part_param
import time:      1496 |      96445 |                     openai.types.beta.thread_create_params
import time:      1064 |       1064 |                     openai.types.beta.thread_update_params
import time:       708 |        708 |                     openai.types.beta.assistant_list_params
import time:      6177 |       6177 |                     openai.types.beta.assistant_stream_event
import time:      1401 |       1401 |                     openai.types.beta.assistant_create_params
import time:      1088 |       1088 |                     openai.types.beta.assistant_update_params
import time:      1764 |       1764 |                     openai.types.beta.thread_create_and_run_params
import time:      3812 |     127579 |                   openai.types.beta
import time:      1529 |     129107 |                 openai.lib.streaming._assistants
import time:       798 |     129904 |               openai.lib.streaming
import time:      1856 |       1856 |               openai._module_client
import time:      3163 |     791454 |             openai
import time:       616 |        616 |             agent_cascade.llm.function_calling
import time:      1650 |     974609 |           agent_cascade.llm.oai
import time:       873 |    2315748 |         agent_cascade.llm.azure
import time:       418 |        418 |         agent_cascade.llm.openvino
import time:       887 |        887 |                     dashscope.api_entities
import time:     12980 |      13866 |                   dashscope.api_entities.dashscope_response
import time:      1013 |       1013 |                     dashscope.client
import time:      1524 |       1524 |                               multidict._abc
import time:      1064 |       1064 |                                 multidict._multidict
import time:      1349 |       2412 |                               multidict._compat
import time:      2051 |       5986 |                             multidict
import time:      1350 |       7336 |                           aiohttp.hdrs
import time:      1652 |       1652 |                                     yarl._quoting_c
import time:      1155 |       2807 |                                   yarl._quoting
import time:      1268 |       4074 |                                 yarl._quoters
import time:      1647 |       5720 |                               yarl._query
import time:      1038 |       1038 |                                   propcache
import time:       770 |        770 |                                     propcache._helpers_c
import time:       935 |       1704 |                                   propcache._helpers
import time:      1387 |       4128 |                                 propcache.api
import time:       847 |        847 |                                 yarl._parse
import time:       577 |        577 |                                 yarl._path
import time:      2957 |       8508 |                               yarl._url
import time:      1879 |      16106 |                             yarl
import time:      1416 |       1416 |                                 aiohttp.typedefs
import time:      1276 |       2691 |                               aiohttp.http_exceptions
import time:      2241 |       2241 |                                   aiohttp.client_exceptions
import time:      1409 |       1409 |                                     netrc
import time:      3453 |       3453 |                                         email._header_value_parser
import time:      1335 |       4788 |                                       email.headerregistry
import time:       875 |        875 |                                       email.contentmanager
import time:      1532 |       7194 |                                     email.policy
import time:       955 |        955 |                                     aiohttp.log
import time:     58326 |      67883 |                                   aiohttp.helpers
import time:       711 |        711 |                                   aiohttp.tcp_helpers
import time:      1796 |      72630 |                                 aiohttp.base_protocol
import time:       606 |        606 |                                   brotlicffi
import time:       841 |        841 |                                     backports
import time:       229 |       1070 |                                   backports.zstd
import time:      1836 |       3511 |                                 aiohttp.compression_utils
import time:      1743 |       1743 |                                     aiohttp._cookie_helpers
import time:      1692 |       3434 |                                   aiohttp.abc
import time:       817 |        817 |                                   aiohttp._http_writer
import time:      1699 |       5950 |                                 aiohttp.http_writer
import time:      1440 |       1440 |                                 aiohttp.streams
import time:      1223 |       1223 |                                 aiohttp._http_parser
import time:      3819 |      88571 |                               aiohttp.http_parser
import time:      1013 |       1013 |                                   aiohttp._websocket
import time:      1755 |       1755 |                                   aiohttp._websocket.models
import time:       651 |        651 |                                   aiohttp._websocket.mask
import time:      2511 |       5929 |                                 aiohttp._websocket.helpers
import time:       742 |        742 |                                   aiohttp._websocket.reader_c
import time:       856 |       1598 |                                 aiohttp._websocket.reader
import time:       644 |        644 |                                 aiohttp._websocket.writer
import time:      1431 |       9601 |                               aiohttp.http_websocket
import time:      1743 |     102604 |                             aiohttp.http
import time:      2022 |       2022 |                             aiohttp.payload
import time:      1712 |       1712 |                                 aiohttp.multipart
import time:       686 |        686 |                                 aiohttp.formdata
import time:      4465 |       6863 |                               aiohttp.client_reqrep
import time:       780 |       7642 |                             aiohttp.client_middlewares
import time:      1328 |       1328 |                             aiohttp.client_ws
import time:       823 |        823 |                                   aiohappyeyeballs._staggered
import time:       734 |        734 |                                   aiohappyeyeballs.types
import time:      1284 |       2840 |                                 aiohappyeyeballs.impl
import time:       715 |        715 |                                 aiohappyeyeballs.utils
import time:      1227 |       4782 |                               aiohappyeyeballs
import time:       677 |        677 |                               aiohttp.client_proto
import time:       566 |        566 |                                 aiodns
import time:       919 |       1484 |                               aiohttp.resolver
import time:     25025 |      31966 |                             aiohttp.connector
import time:      1613 |       1613 |                             aiohttp.cookiejar
import time:       947 |        947 |                                   frozenlist._frozenlist
import time:      1367 |       2313 |                                 frozenlist
import time:      1339 |       3652 |                               aiosignal
import time:      7316 |      10967 |                             aiohttp.tracing
import time:      5357 |     179601 |                           aiohttp.client
import time:      1269 |       1269 |                           aiohttp.client_middleware_digest_auth
import time:       835 |        835 |                           aiohttp.payload_streamer
import time:      1897 |     190936 |                         aiohttp
import time:       699 |        699 |                           dashscope.common
import time:      1122 |       1820 |                         dashscope.common.constants
import time:       673 |        673 |                           dashscope.io
import time:       788 |        788 |                           dashscope.common.error
import time:      1118 |       2579 |                         dashscope.io.input_output
import time:      1138 |     196472 |                       dashscope.api_entities.api_request_data
import time:       522 |        522 |                           dashscope.version
import time:       962 |       1484 |                         dashscope.api_entities.base_request
import time:       547 |        547 |                         dashscope.common.logging
import time:       523 |        523 |                           dashscope.common.api_key
import time:      1236 |       1758 |                         dashscope.common.utils
import time:       877 |        877 |                                   cryptography.__about__
import time:      1648 |       2525 |                                 cryptography
import time:      1127 |       3651 |                               cryptography.hazmat
import time:      1068 |       4719 |                             cryptography.hazmat.primitives
import time:       857 |        857 |                               cryptography.utils
import time:       867 |       1724 |                             cryptography.hazmat.primitives._cipheralgorithm
import time:       777 |        777 |                                 cryptography.hazmat.bindings
import time:      3037 |       3813 |                               cryptography.hazmat.bindings._rust
import time:       640 |        640 |                                 cryptography.exceptions
import time:       656 |        656 |                                       cryptography.hazmat.decrepit
import time:      1081 |       1736 |                                     cryptography.hazmat.decrepit.ciphers
import time:      1252 |       2988 |                                   cryptography.hazmat.decrepit.ciphers.algorithms
import time:       961 |       3949 |                                 cryptography.hazmat.primitives.ciphers.algorithms
import time:      1518 |       6105 |                               cryptography.hazmat.primitives.ciphers.modes
import time:      1730 |      11647 |                             cryptography.hazmat.primitives.ciphers.base
import time:      1703 |      19791 |                           cryptography.hazmat.primitives.ciphers
import time:      1592 |       1592 |                               cryptography.hazmat.primitives.hashes
import time:      1411 |       3002 |                             cryptography.hazmat.primitives._serialization
import time:      1049 |       1049 |                             cryptography.hazmat.primitives.serialization.base
import time:       788 |        788 |                               cryptography.hazmat.primitives.asymmetric
import time:       712 |        712 |                                 cryptography.hazmat.primitives.asymmetric.utils
import time:      1261 |       1973 |                               cryptography.hazmat.primitives.asymmetric.dsa
import time:       848 |        848 |                                 cryptography.hazmat._oid
import time:      1285 |       2133 |                               cryptography.hazmat.primitives.asymmetric.ec
import time:       626 |        626 |                               cryptography.hazmat.primitives.asymmetric.ed25519
import time:       504 |        504 |                                 cryptography.hazmat.primitives._asymmetric
import time:       562 |        562 |                                 cryptography.hazmat.primitives.asymmetric.rsa
import time:      1311 |       2375 |                               cryptography.hazmat.primitives.asymmetric.padding
import time:       795 |        795 |                               bcrypt
import time:      4245 |      12932 |                             cryptography.hazmat.primitives.serialization.ssh
import time:      1901 |      18882 |                           cryptography.hazmat.primitives.serialization
import time:       886 |        886 |                           cryptography.hazmat.backends
import time:      1422 |      40979 |                         dashscope.api_entities.encryption
import time:      1880 |      46645 |                       dashscope.api_entities.http_request
import time:       769 |        769 |                           dashscope.protocol
import time:      1602 |       2370 |                         dashscope.protocol.websocket
import time:      1310 |       3679 |                       dashscope.api_entities.websocket_request
import time:      1495 |     248289 |                     dashscope.api_entities.api_request_factory
import time:      3557 |     252858 |                   dashscope.client.base_api
import time:      1466 |     268189 |                 dashscope.aigc.conversation
import time:       619 |        619 |                     dashscope.utils
import time:       889 |       1508 |                   dashscope.utils.param_utils
import time:       801 |        801 |                   dashscope.utils.message_utils
import time:      1549 |       3856 |                 dashscope.aigc.generation
import time:       785 |        785 |                       wsgiref
import time:       557 |        557 |                       wsgiref.util
import time:       616 |        616 |                       wsgiref.headers
import time:      2706 |       4663 |                     wsgiref.handlers
import time:       888 |       5551 |                   dashscope.utils.oss_utils
import time:      1123 |       6673 |                 dashscope.aigc.image_synthesis
import time:      1018 |       1018 |                 dashscope.aigc.multimodal_conversation
import time:       765 |        765 |                 dashscope.aigc.video_synthesis
import time:      2228 |     282729 |               dashscope.aigc
import time:       952 |     283681 |             dashscope.aigc.code_generation
import time:      3739 |       3739 |                   dashscope.app.application_response
import time:      1338 |       5077 |                 dashscope.app.application
import time:       822 |       5899 |               dashscope.app
import time:       179 |       6077 |             dashscope.app.application
import time:      1147 |       1147 |                 dashscope.common.base_type
import time:      3854 |       5001 |               dashscope.assistants.assistant_types
import time:      1075 |       1075 |               dashscope.assistants.assistants
import time:      1232 |       7308 |             dashscope.assistants
import time:       544 |        544 |                         dashscope.customize
import time:      4865 |       4865 |                         dashscope.customize.customize_types
import time:      1245 |       6653 |                       dashscope.customize.finetunes
import time:       954 |       7606 |                     dashscope.audio.asr.asr_phrase_manager
import time:       985 |        985 |                     dashscope.audio.asr.recognition
import time:       779 |        779 |                     dashscope.audio.asr.transcription
import time:      1002 |       1002 |                     dashscope.audio.asr.translation_recognizer
import time:       809 |        809 |                     dashscope.audio.asr.vocabulary
import time:      1931 |      13109 |                   dashscope.audio.asr
import time:       924 |        924 |                     dashscope.audio.tts.speech_synthesizer
import time:      1522 |       2446 |                   dashscope.audio.tts
import time:       997 |        997 |                     dashscope.audio.tts_v2.enrollment
import time:       691 |        691 |                           websocket._exceptions
import time:       613 |        613 |                               wsaccel
import time:       202 |        814 |                             wsaccel.utf8validator
import time:      1005 |       1819 |                           websocket._utils
import time:       538 |        538 |                             wsaccel
import time:       190 |        728 |                           wsaccel.xormask
import time:      1810 |       5047 |                         websocket._abnf
import time:       638 |        638 |                           websocket._logging
import time:       803 |        803 |                               websocket._cookiejar
import time:       595 |        595 |                                   websocket._ssl_compat
import time:      1013 |       1608 |                                 websocket._socket
import time:       903 |        903 |                                 websocket._url
import time:       575 |        575 |                                   python_socks
import time:       214 |        789 |                                 python_socks._errors
import time:      1454 |       4752 |                               websocket._http
import time:      1096 |       6650 |                             websocket._handshake
import time:       937 |        937 |                             websocket._dispatcher
import time:      1228 |       8814 |                           websocket._core
import time:      1626 |      11077 |                         websocket._app
import time:      1260 |      17382 |                       websocket
import time:      2334 |      19716 |                     dashscope.audio.tts_v2.speech_synthesizer
import time:      1309 |      22020 |                   dashscope.audio.tts_v2
import time:       886 |        886 |                     dashscope.audio.qwen_tts.speech_synthesizer
import time:      1246 |       2131 |                   dashscope.audio.qwen_tts
import time:      1521 |       1521 |                     dashscope.audio.qwen_tts_realtime.qwen_tts_realtime
import time:      1058 |       2579 |                   dashscope.audio.qwen_tts_realtime
import time:      2408 |       2408 |                     dashscope.audio.qwen_omni.omni_realtime
import time:      1372 |       3779 |                   dashscope.audio.qwen_omni
import time:      2073 |      48135 |                 dashscope.audio
import time:       231 |      48365 |               dashscope.audio.asr
import time:       258 |      48623 |             dashscope.audio.asr.transcription
import time:      1248 |       1248 |             dashscope.common.env
import time:       835 |        835 |             dashscope.customize.deployments
import time:      2016 |       2016 |                   dashscope.embeddings.batch_text_embedding_response
import time:      1165 |       3180 |                 dashscope.embeddings.batch_text_embedding
import time:       697 |        697 |                 dashscope.embeddings.text_embedding
import time:      1282 |       5159 |               dashscope.embeddings
import time:       207 |       5365 |             dashscope.embeddings.batch_text_embedding
import time:      1692 |       1692 |             dashscope.embeddings.multimodal_embedding
import time:       782 |        782 |             dashscope.files
import time:       629 |        629 |             dashscope.models
import time:       593 |        593 |               dashscope.nlp
import time:       913 |       1506 |             dashscope.nlp.understanding
import time:       562 |        562 |               dashscope.rerank
import time:      1767 |       2329 |             dashscope.rerank.text_rerank
import time:       909 |        909 |                 dashscope.threads.messages
import time:     11045 |      11045 |                 dashscope.threads.thread_types
import time:      1421 |      13374 |               dashscope.threads.messages.messages
import time:       900 |        900 |                 dashscope.threads.runs
import time:      1114 |       2013 |               dashscope.threads.runs.runs
import time:       634 |        634 |               dashscope.threads.runs.steps
import time:       929 |        929 |               dashscope.threads.threads
import time:      1615 |      18563 |             dashscope.threads
import time:       760 |        760 |               dashscope.tokenizers.tokenization
import time:       555 |        555 |                   dashscope.tokenizers.tokenizer_base
import time:      1533 |       2088 |                 dashscope.tokenizers.qwen_tokenizer
import time:       754 |       2841 |               dashscope.tokenizers.tokenizer
import time:      1057 |       4658 |             dashscope.tokenizers
import time:      4690 |     387978 |           dashscope
import time:       555 |     388533 |         agent_cascade.llm.qwen_dashscope
import time:       647 |        647 |           agent_cascade.llm.qwenvl_dashscope
import time:       685 |       1332 |         agent_cascade.llm.qwenaudio_dashscope
import time:       419 |        419 |           agent_cascade.llm.qwenvl_oai
import time:       855 |       1274 |         agent_cascade.llm.qwenomni_oai
import time:       353 |        353 |         agent_cascade.llm.qwenvlo_dashscope
import time:       454 |        454 |         agent_cascade.llm.transformers_llm
import time:      1833 |    2709942 |       agent_cascade.llm
import time:       702 |        702 |           agent_cascade.tools.base
import time:       790 |       1492 |         agent_cascade.tools.amap_weather
import time:       738 |        738 |                   attrs.converters
import time:       550 |        550 |                   attrs.exceptions
import time:       546 |        546 |                   attrs.filters
import time:       525 |        525 |                   attrs.setters
import time:       532 |        532 |                   attrs.validators
import time:      1812 |       4700 |                 attrs
import time:      1189 |       1189 |                         rpds.rpds
import time:      1634 |       2823 |                       rpds
import time:       762 |        762 |                         referencing._attrs
import time:      4144 |       4906 |                       referencing.exceptions
import time:       896 |        896 |                       referencing.typing
import time:      6415 |      15039 |                     referencing._core
import time:      1024 |      16063 |                   referencing
import time:       167 |      16229 |                 referencing.exceptions
import time:       899 |        899 |                 jsonschema._utils
import time:      1640 |      23466 |               jsonschema.exceptions
import time:       825 |        825 |                 fqdn._compat
import time:      1383 |       2208 |               fqdn
import time:       592 |        592 |               rfc3987
import time:      9057 |       9057 |               rfc3986_validator
import time:       606 |        606 |                         atomicwrites
import time:      2301 |       2906 |                       lark.utils
import time:      1605 |       4511 |                     lark.exceptions
import time:       613 |        613 |                           interegular
import time:       833 |        833 |                           lark.grammar
import time:      1792 |       3238 |                         lark.lexer
import time:      1114 |       1114 |                           lark.tree
import time:      1367 |       1367 |                           lark.visitors
import time:      1316 |       3796 |                         lark.parse_tree_builder
import time:       828 |        828 |                           lark.parsers
import time:      1137 |       1137 |                               lark.common
import time:      1114 |       2251 |                             lark.parsers.grammar_analysis
import time:       708 |        708 |                             lark.parsers.earley_common
import time:      1786 |       1786 |                             lark.parsers.earley_forest
import time:      1927 |       6672 |                           lark.parsers.earley
import time:       928 |        928 |                           lark.parsers.xearley
import time:       837 |        837 |                           lark.parsers.cyk
import time:       943 |        943 |                             lark.parsers.lalr_analysis
import time:       612 |        612 |                               lark.parsers.lalr_parser_state
import time:       777 |       1388 |                             lark.parsers.lalr_interactive_parser
import time:      1016 |       3346 |                           lark.parsers.lalr_parser
import time:     29558 |      42165 |                         lark.parser_frontends
import time:      2999 |      52196 |                       lark.load_grammar
import time:      1773 |      53969 |                     lark.lark
import time:      1472 |      59950 |                   lark
import time:       719 |        719 |                   rfc3987_syntax.utils
import time:   1192371 |    1253039 |                 rfc3987_syntax.syntax_helpers
import time:      1408 |    1254447 |               rfc3987_syntax
import time:      1795 |       1795 |                 six
import time:      1898 |       3692 |               rfc3339_validator
import time:       838 |        838 |                   webcolors._definitions
import time:       964 |        964 |                     webcolors._types
import time:       775 |       1739 |                   webcolors._normalization
import time:      1180 |       3756 |                 webcolors._conversion
import time:       605 |        605 |                 webcolors._html5
import time:      1399 |       5760 |               webcolors
import time:      1417 |       1417 |               jsonpointer
import time:       611 |        611 |                   uri_template.charset
import time:       725 |        725 |                   uri_template.variable
import time:      2655 |       3991 |                 uri_template.expansions
import time:       563 |        563 |                 uri_template.uritemplate
import time:      1657 |       6210 |               uri_template
import time:       505 |        505 |                   isoduration.constants
import time:       956 |        956 |                     isoduration.formatter.exceptions
import time:       976 |       1932 |                   isoduration.formatter.checking
import time:       620 |        620 |                   isoduration.formatter.formatting
import time:      1505 |       4560 |                 isoduration.formatter
import time:       837 |        837 |                   isoduration.parser.exceptions
import time:       730 |        730 |                       arrow._version
import time:      1011 |       1011 |                             dateutil._version
import time:      1532 |       2543 |                           dateutil
import time:        63 |         63 |                             six.moves
import time:       734 |        734 |                             dateutil.tz._common
import time:       735 |        735 |                             dateutil.tz._factories
import time:       866 |        866 |                             dateutil.tz.win
import time:      2245 |       4642 |                           dateutil.tz.tz
import time:       667 |        667 |                             dateutil._common
import time:      1144 |       1811 |                           dateutil.relativedelta
import time:      4954 |       4954 |                             arrow.locales
import time:       773 |        773 |                             arrow.constants
import time:      1729 |       7455 |                           arrow.formatter
import time:      1080 |       1080 |                               dateutil.rrule
import time:       907 |       1987 |                             arrow.util
import time:      2598 |       4584 |                           arrow.parser
import time:      3531 |      24563 |                         arrow.arrow
import time:       916 |        916 |                         arrow.factory
import time:       975 |      26454 |                       arrow.api
import time:      1445 |      28629 |                     arrow
import time:       773 |        773 |                     isoduration.parser.util
import time:       740 |        740 |                         isoduration.operations.util
import time:      1037 |       1776 |                       isoduration.operations
import time:      1674 |       3450 |                     isoduration.types
import time:      1183 |      34034 |                   isoduration.parser.parsing
import time:      1197 |      36067 |                 isoduration.parser
import time:      1298 |      41924 |               isoduration
import time:      2913 |    1351681 |             jsonschema._format
import time:      1180 |       1180 |             jsonschema._types
import time:      2171 |       2171 |                 referencing.jsonschema
import time:       763 |        763 |                 jsonschema_specifications._core
import time:      8358 |      11292 |               jsonschema_specifications
import time:       866 |        866 |               jsonschema._keywords
import time:       686 |        686 |               jsonschema._legacy_keywords
import time:       776 |        776 |                 jsonschema.protocols
import time:       814 |       1589 |               jsonschema._typing
import time:      4918 |      19350 |             jsonschema.validators
import time:      1712 |    1373921 |           jsonschema
import time:       606 |        606 |           agent_cascade.tool_utils
import time:       402 |        402 |           agent_cascade.utils.code_path_resolver
2026-08-05 11:16:17,557 - code_interpreter.py - 331 - INFO - Code interpreter watchdog started (timeout=300s)
2026-08-05 11:16:17,558 - log.py - 43 - WARNING - --- Logging error ---
